ANTdriftrate,Percdriftrate,LearningAcc,SymSpn
0.360538169,0.178085063,88.75,18
0.310918599,0.158221006,81.25,20
0.194242713,0.022720403,41.25,25
0.244167583,0.126975705,87.5,31
0.311609779,0.150570638,35,8
0.314123684,0.073510488,72.5,34
0.168142744,0.08631777,80,25
0.303846056,0.024224277,48.75,31
0.263224671,0.092274807,81.25,25
0.333968652,0.148583122,83.75,31
0.307303707,0.145637507,83.75,34
0.177993175,0.065360772,85,36
0.223893009,0.142912487,81.25,42
0.264884076,0.15275216,62.5,27
0.309868724,0.103500919,76.25,26
0.272352663,0.080037239,80,42
0.377663203,0.168109442,83.75,29
0.166969513,0.053845044,76.25,36
0.32218109,0.102303454,66.25,29
0.292536897,0.075540923,65,23
0.21770012,0.071672878,70,19
0.245103393,0.086828991,80,29
0.286109367,0.151426659,50,27
0.351939713,0.120345145,78.75,28
0.217751313,0.123763098,83.75,26
0.226491378,0.002611328,77.5,22
0.408056578,0.106302918,76.25,13
0.290961728,0.119841614,71.25,28
0.199573731,0.121976832,62.5,16
0.166357929,0.021337687,32.5,38
0.247641239,0.157014659,88.75,18
0.052398083,0.023010574,80,23
0.284919556,0.141190093,88.75,24
0.235852324,0.073404048,82.5,35
0.331125951,0.111903983,60,42
0.20706622,0.023734959,65,32
0.339268083,0.096660059,67.5,19
0.27261643,0.079740152,75,21
0.253234428,0.084529603,68.75,19
0.332808514,0.129487703,70,29
0.320634459,0.079138298,88.75,42
0.354690197,0.116761451,81.25,22
0.244269686,0.034689651,46.25,26
0.229578729,0.097407413,75,25
0.250446206,0.081353436,83.75,24
0.214150181,0.121287734,55,8
0.276042551,0.091626127,72.5,42
0.343382596,0.016079055,20,34
0.196185441,0.090707395,60,23
0.254020831,0.141497069,83.75,30
0.319522725,0.185795806,77.5,15
0.22297069,0.110852312,67.5,30
0.334536853,0.089934767,57.5,35
0.228259443,0.148603177,70,28
0.251579102,0.099168595,60,32
0.264257268,0.112253192,67.5,31
0.274484396,0.155871921,80,10
0.191139057,0.065546529,76.25,29
0.324260695,0.162300024,80,26
0.254745428,0.093564345,70,18
0.277055479,0.109099045,51.25,24
0.175454916,0.101467261,11.25,22
0.264722933,0.207935397,66.25,42
0.292228678,0.078830278,60,32
0.311364524,0.081271705,62.5,25
0.287034108,0.061941871,53.75,24
0.254662795,0.126632349,57.5,34
0.268361832,0.114358514,65,38
0.147000406,0.020330054,60,20
0.392063163,0.176274707,85,16
0.33927088,0.032512004,70,17
0.008195056,0.095150479,80,24
0.376991965,0.100304354,55,37
0.290864474,0.05955119,77.5,39
0.26558821,0.132696219,62.5,20
0.27476472,0.090449628,78.75,17
0.383248735,0.170695589,86.25,26
0.326915026,0.101249073,62.5,41
0.22412884,0.091504269,80,34
0.260724175,0.095031183,42.5,29
0.209595553,0.061493912,50,30
0.232093501,-0.006569791,23.75,27
0.111877506,0.119076884,77.5,17
0.245720896,0.079489022,50,38
0.391732261,0.126311979,77.5,35
0.249413865,0.089721862,66.25,29
0.283727514,0.164613991,77.5,10
0.445083198,0.197326499,88.75,22
0.273561779,0.090657239,78.75,25
0.350430381,0.138894345,81.25,36
0.165169158,0.109854756,60,31
0.152157191,0.015318548,72.5,19
0.384789434,0.126185951,65,27
0.212210393,0.065401181,67.5,13
0.34023944,0.072264689,42.5,39
0.36348704,0.157056576,81.25,29
0.237166563,0.148353486,81.25,42
0.210708124,0.119414298,83.75,26
0.25304458,0.046619268,56.25,21
